What is the capital of France?, Berlin, Madrid, Paris, Rome, Paris
Who wrote "To Kill a Mockingbird"?, Harper Lee, J.K. Rowling, Ernest Hemingway, Mark Twain, Harper Lee
What is the largest planet in our solar system?, Earth, Mars, Jupiter, Saturn, Jupiter
Which element has the chemical symbol 'O'?, Oxygen, Gold, Silver, Nitrogen, Oxygen
Who painted the Mona Lisa?, Vincent van Gogh, Pablo Picasso, Leonardo da Vinci, Claude Monet, Leonardo da Vinci
What is the smallest country in the world?, Monaco, Vatican City, San Marino, Liechtenstein, Vatican City
Who was the first President of the United States?, Abraham Lincoln, Thomas Jefferson, George Washington, John Adams, George Washington
What is the main ingredient in guacamole?, Tomato, Avocado, Potato, Cucumber, Avocado
Which planet is known as the Red Planet?, Earth, Mars, Jupiter, Venus, Mars
What is the longest river in the world?, Amazon, Nile, Yangtze, Mississippi, Nile
Who is known as the "Father of Computers"?, Bill Gates, Steve Jobs, Charles Babbage, Alan Turing, Charles Babbage
What year did the Titanic sink?, 1912, 1905, 1915, 1920, 1912
Which mammal is known to have the most powerful bite?, Lion, Tiger, Hippopotamus, Great White Shark, Hippopotamus
What is the chemical formula for water?, CO2, H2O, O2, NaCl, H2O
Who wrote "1984"?, George Orwell, Aldous Huxley, J.R.R. Tolkien, F. Scott Fitzgerald, George Orwell
What is the hardest natural substance on Earth?, Iron, Diamond, Gold, Quartz, Diamond
What is the capital city of Japan?, Seoul, Beijing, Tokyo, Bangkok, Tokyo
Who discovered penicillin?, Marie Curie, Alexander Fleming, Louis Pasteur, Gregor Mendel, Alexander Fleming
Which planet is closest to the sun?, Venus, Earth, Mercury, Mars, Mercury
What is the largest ocean on Earth?, Atlantic Ocean, Indian Ocean, Arctic Ocean, Pacific Ocean, Pacific Ocean
Who is the author of the Harry Potter series?, J.K. Rowling, Suzanne Collins, J.R.R. Tolkien, George R.R. Martin, J.K. Rowling
What is the capital of Australia?, Sydney, Canberra, Melbourne, Brisbane, Canberra
Which famous scientist developed the theory of relativity?, Isaac Newton, Nikola Tesla, Albert Einstein, Galileo Galilei, Albert Einstein
What is the tallest mountain in the world?, K2, Mount Everest, Kangchenjunga, Lhotse, Mount Everest
Who is the Greek god of the sea?, Hades, Zeus, Poseidon, Hermes, Poseidon
Which country is known as the Land of the Rising Sun?, China, South Korea, Thailand, Japan, Japan
What is the currency of the United Kingdom?, Dollar, Euro, Pound Sterling, Yen, Pound Sterling
Who was the first man to walk on the moon?, Buzz Aldrin, Neil Armstrong, Michael Collins, Yuri Gagarin, Neil Armstrong
What is the largest desert in the world?, Sahara, Gobi, Kalahari, Arabian, Sahara
Who wrote "Pride and Prejudice"?, Emily Brontë, Charles Dickens, Jane Austen, Mary Shelley, Jane Austen
What is the fastest land animal?, Cheetah, Lion, Tiger, Gazelle, Cheetah
What is the main language spoken in Brazil?, Spanish, Portuguese, French, English, Portuguese
What is the hardest rock?, Marble, Granite, Diamond, Quartz, Diamond
Which is the smallest planet in our solar system?, Mars, Venus, Mercury, Pluto, Mercury
What is the name of the longest bone in the human body?, Tibia, Fibula, Femur, Humerus, Femur
What is the capital of Canada?, Vancouver, Toronto, Montreal, Ottawa, Ottawa
Who wrote "Moby-Dick"?, Mark Twain, Herman Melville, Nathaniel Hawthorne, Edgar Allan Poe, Herman Melville
Which planet is known as the Earth's twin?, Mars, Jupiter, Venus, Neptune, Venus
What is the most abundant gas in the Earth's atmosphere?, Oxygen, Hydrogen, Carbon Dioxide, Nitrogen, Nitrogen
Who painted the ceiling of the Sistine Chapel?, Leonardo da Vinci, Michelangelo, Raphael, Donatello, Michelangelo
What is the largest organ in the human body?, Heart, Liver, Skin, Brain, Skin
What is the main ingredient in traditional Japanese miso soup?, Soybean, Rice, Seaweed, Tofu, Soybean
Which element is known as the 'King of Chemicals'?, Carbon, Hydrogen, Oxygen, Sulfur, Carbon
What is the capital of Italy?, Florence, Milan, Rome, Venice, Rome
Who wrote "The Great Gatsby"?, Ernest Hemingway, F. Scott Fitzgerald, John Steinbeck, William Faulkner, F. Scott Fitzgerald
What is the currency of Japan?, Yuan, Dollar, Won, Yen, Yen
Who discovered gravity?, Albert Einstein, Nikola Tesla, Isaac Newton, Galileo Galilei, Isaac Newton
Which planet has the most moons?, Earth, Mars, Saturn, Jupiter, Jupiter
What is the largest mammal in the world?, Elephant, Blue Whale, Giraffe, Hippopotamus, Blue Whale
Who invented the telephone?, Thomas Edison, Nikola Tesla, Alexander Graham Bell, Guglielmo Marconi, Alexander Graham Bell
What is the longest river in Africa?, Amazon, Nile, Congo, Zambezi, Nile
Which country hosted the first modern Olympic Games?, USA, UK, Greece, France, Greece
Who wrote "Hamlet"?, Christopher Marlowe, William Shakespeare, John Milton, Geoffrey Chaucer, William Shakespeare
What is the main ingredient in hummus?, Chickpeas, Lentils, Black Beans, Peas, Chickpeas
What is the capital of Spain?, Barcelona, Seville, Madrid, Valencia, Madrid
Who developed the polio vaccine?, Jonas Salk, Albert Sabin, Edward Jenner, Louis Pasteur, Jonas Salk
What is the chemical symbol for gold?, Au, Ag, Fe, Hg, Au
Which country is the largest by area?, Canada, USA, China, Russia, Russia
What is the smallest unit of life?, Atom, Molecule, Cell, Tissue, Cell
Who painted "Starry Night"?, Claude Monet, Pablo Picasso, Vincent van Gogh, Salvador Dalí, Vincent van Gogh
What is the capital of Russia?, St. Petersburg, Moscow, Kiev, Warsaw, Moscow
What is the most widely spoken language in the world?, English, Spanish, Chinese, Hindi, Chinese
Who wrote "The Catcher in the Rye"?, J.D. Salinger, F. Scott Fitzgerald, Ernest Hemingway, John Steinbeck, J.D. Salinger
What is the capital of Germany?, Munich, Berlin, Frankfurt, Hamburg, Berlin
Which planet is known as the Morning Star?, Mars, Mercury, Venus, Saturn, Venus
Who is the author of "The Hobbit"?, J.K. Rowling, C.S. Lewis, J.R.R. Tolkien, George R.R. Martin, J.R.R. Tolkien
What is the largest continent?, Africa, Asia, Europe, Antarctica, Asia
What is the chemical symbol for silver?, Au, Ag, Al, Si, Ag
Who discovered America?, Christopher Columbus, Ferdinand Magellan, Marco Polo, Leif Erikson, Christopher Columbus
What is the main ingredient in sushi?, Rice, Bread, Pasta, Quinoa, Rice
What is the largest bone in the human body?, Humerus, Tibia, Femur, Radius, Femur
Who is the Roman god of war?, Neptune, Jupiter, Mars, Apollo, Mars
What is the smallest continent?, Africa, Europe, Australia, Antarctica, Australia
What is the capital of India?, Mumbai, Kolkata, New Delhi, Bangalore, New Delhi
What is the longest river in South America?, Amazon, Orinoco, Paraná, Uruguay, Amazon
Who invented the light bulb?, Alexander Graham Bell, Nikola Tesla, Thomas Edison, James Watt, Thomas Edison
What is the currency of India?, Dollar, Yen, Rupee, Peso, Rupee
Which planet is known for its rings?, Jupiter, Saturn, Uranus, Neptune, Saturn
Who wrote "The Odyssey"?, Homer, Virgil, Plato, Socrates, Homer
What is the most populous country in the world?, India, USA, China, Indonesia, China
What is the chemical symbol for iron?, Ir, In, Fe, I, Fe
Who was the first woman to win a Nobel Prize?, Marie Curie, Mother Teresa, Rosalind Franklin, Jane Goodall, Marie Curie
What is the capital of Egypt?, Alexandria, Cairo, Luxor, Giza, Cairo
Which element is known as the 'Building Block of Life'?, Hydrogen, Nitrogen, Carbon, Oxygen, Carbon
What is the largest land animal?, Elephant, Rhino, Hippopotamus, Giraffe, Elephant
Who wrote "War and Peace"?, Leo Tolstoy, Fyodor Dostoevsky, Anton Chekhov, Ivan Turgenev, Leo Tolstoy
What is the most spoken language in Europe?, English, Spanish, Russian, German, Russian
What is the chemical symbol for sodium?, S, So, Na, N, Na
Who was the first woman to fly solo across the Atlantic?, Amelia Earhart, Bessie Coleman, Harriet Quimby, Jacqueline Cochran, Amelia Earhart
What is the capital of Brazil?, Rio de Janeiro, São Paulo, Brasília, Salvador, Brasília
What is the smallest country by population?, Nauru, Monaco, Vatican City, San Marino, Vatican City
What is the tallest building in the world?, Shanghai Tower, Burj Khalifa, Abraj Al-Bait Clock Tower, One World Trade Center, Burj Khalifa
Who painted "The Last Supper"?, Michelangelo, Raphael, Leonardo da Vinci, Donatello, Leonardo da Vinci
What is the capital of South Korea?, Beijing, Seoul, Tokyo, Pyongyang, Seoul
What is the main ingredient in tofu?, Rice, Soybeans, Wheat, Corn, Soybeans
Which planet is known as the Blue Planet?, Earth, Neptune, Uranus, Venus, Earth
Who is known as the "Mother of Modern Nursing"?, Clara Barton, Florence Nightingale, Mary Seacole, Edith Cavell, Florence Nightingale
What is the chemical symbol for potassium?, P, Pt, K, Po, K
Who wrote "Brave New World"?, Aldous Huxley, George Orwell, H.G. Wells, Ray Bradbury, Aldous Huxley
What is the capital of Greece?, Athens, Sparta, Thessaloniki, Corinth, Athens
What is the smallest bone in the human body?, Femur, Stapes, Ulna, Radius, Stapes
Who discovered electricity?, Benjamin Franklin, Thomas Edison, Nikola Tesla, Alessandro Volta, Benjamin Franklin
What is the currency of China?, Yen, Won, Yuan, Rupee, Yuan
What is the capital of Argentina?, Buenos Aires, Córdoba, Rosario, Mendoza, Buenos Aires
What is the most spoken language in Africa?, Swahili, Arabic, French, English, Swahili
Who wrote "Don Quixote"?, Gabriel Garcia Marquez, Jorge Luis Borges, Miguel de Cervantes, Isabel Allende, Miguel de Cervantes
What is the main ingredient in borscht?, Cabbage, Beetroot, Potato, Carrot, Beetroot
What is the capital of Mexico?, Guadalajara, Monterrey, Puebla, Mexico City, Mexico City
What is the chemical symbol for calcium?, Ca, Cl, C, Cm, Ca
Who invented the World Wide Web?, Bill Gates, Steve Jobs, Tim Berners-Lee, Mark Zuckerberg, Tim Berners-Lee
What is the largest island in the world?, Greenland, Borneo, Madagascar, New Guinea, Greenland
Who painted "The Persistence of Memory"?, Salvador Dalí, Pablo Picasso, Vincent van Gogh, Claude Monet, Salvador Dalí
What is the capital of Norway?, Oslo, Bergen, Trondheim, Stavanger, Oslo
What is the main ingredient in gazpacho?, Cucumber, Tomato, Bell Pepper, Onion, Tomato
Which planet is known as the Gas Giant?, Venus, Earth, Saturn, Mars, Saturn
Who is the author of "The Chronicles of Narnia"?, J.K. Rowling, J.R.R. Tolkien, C.S. Lewis, George R.R. Martin, C.S. Lewis
What is the chemical symbol for helium?, He, H, Hl, Hm, He
